STT,Tên chức năng,Tác nhân,Transaction,Mô tả,Phân loại BMT,Độ phức tạp,Đã update 3 phụ lục
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lọc theo lĩnh vực để tìm kiếm thông tin hỏi đáp, vướng mắc được tổng hợp;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo điều kiện lọc.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP kết hợp nhiều điều kiện tìm kiếm hỏi đáp, vướng mắc được tổng hợp;
Hệ thống thực hiện truy vấn dữ liệu và hiển thị kết quả dạng danh sách tương ứng theo các điều kiện lọc.",,,,
II.2,"Quản lý tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý",,,,,,
12,"Tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý","Cán bộ nghiệp vụ TW,BN,ĐP",,Thực hiện thao tác tiếp nhận và chuyển yêu cầu vào quy trình phân công xử lý.,B,Trung bình,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị danh sách tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý.",,,,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lọc điều kiện để xem danh sách hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị danh sách hỏi đáp, vướng mắc pháp lý theo điều kiện đã lọc.",Lọc điều kiện để xem danh sách,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết nội dung hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị chi tiết nội dung hỏi đáp, vướng mắc pháp lý.","Xem chi tiết nội dung hỏi đáp, vướng mắc pháp lý",,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xác nhận tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý để chuyển phân công;
Hệ thống kiểm tra điều kiện và xác nhận tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý thành công.",Xác nhận tiếp nhận hỏi đáp để chuyển phân công xử lý,,,xxx
13,"Quản lý thông tin tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý","Cán bộ nghiệp vụ TW,BN,ĐP",,"Quản lý các thông tin liên quan đến quá trình xử lý (người phân công, thời hạn xử lý, trạng thái luân chuyển).",B,Phức tạp,
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý.",,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP chọn phân trang để xem danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý theo phân trang đã chọn.",,,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP lọc điều kiện để xem danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý theo điều kiện đã lọc.","Lọc điều kiện để xem danh sách đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý",,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem chi tiết thông tin đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị chi tiết thông tin đã tiếp nhận xử lý hỏi đáp, vướng mắc pháp lý.","Xem chi tiết thông tin đã tiếp nhận về xử lý hỏi đáp, vướng mắc pháp lý",,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP xem thông tin đã phân công xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và hiển thị thông tin đã phân công xử lý hỏi đáp, vướng mắc pháp lý.","Xem thông tin đã phân công xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống hiển thị thông tin đã phân công xử lý hỏi đáp, vướng mắc pháp lý.",,,xxx
,,,"Cán bộ nghiệp vụ TW,BN,ĐP cập nhật thời hạn xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và ghi nhận thời hạn xử lý hỏi đáp, vướng mắc pháp lý theo quy định.","Cập nhật thời hạn xử lý hỏi đáp, vướng mắc pháp lý;
Hệ thống kiểm tra điều kiện và ghi nhận thời hạn xử lý theo quy định",,,xxx
